station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
FID,1,3001,334,0.9491017964071856,0.9508500435919791,0.9354838709677419,0.9662162162162162,0.9720670391061452,0.9534246575342465,143,5,12,174,0.9643444075304541,100,0.01,rbf,47.03748260199973
FID,2,3001,334,0.9730538922155688,0.9711046617086885,0.9891891891891892,0.9530201342281879,0.9631578947368421,0.976,142,7,2,183,0.9626810631229237,100,0.01,rbf,40.639745906000826
FID,3,3001,334,0.9730538922155688,0.974369671685108,0.9621621621621622,0.9865771812080537,0.9888888888888889,0.9753424657534246,147,2,7,178,0.96334772978959,1000,0.01,rbf,39.98668880399964
FID,4,3001,334,0.9670658682634731,0.9683112642844187,0.9567567567567568,0.9798657718120806,0.9833333333333333,0.9698630136986301,146,3,8,177,0.9630121816168327,1000,0.01,rbf,36.79940270000043
FID,5,3001,334,0.9550898203592815,0.9561944494830401,0.9459459459459459,0.9664429530201343,0.9722222222222222,0.958904109589041,144,5,10,175,0.9653466223698782,10,scale,rbf,30.659100117998605
FID,6,3002,333,0.9579579579579579,0.9581081081081081,0.9567567567567568,0.9594594594594594,0.9672131147540983,0.9619565217391305,142,6,8,177,0.9646910299003324,1000,0.01,rbf,45.23493583400159
FID,7,3002,333,0.9669669669669669,0.9675675675675677,0.9621621621621622,0.972972972972973,0.978021978021978,0.9700272479564033,144,4,7,178,0.963361018826135,100,0.01,rbf,25.831611345000056
FID,8,3002,333,0.963963963963964,0.9628378378378379,0.972972972972973,0.9527027027027027,0.9625668449197861,0.967741935483871,141,7,5,180,0.962358803986711,10,scale,rbf,28.707929051000974
FID,9,3002,333,0.9519519519519519,0.9540540540540541,0.9351351351351351,0.972972972972973,0.9774011299435028,0.9558011049723757,144,4,12,173,0.9660199335548174,100,0.01,rbf,22.438299420000476
FID,10,3002,333,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9782608695652174,0.975609756097561,144,4,5,180,0.962358803986711,1000,0.01,rbf,25.380645711000398
