station,outer_fold,n_train,n_test,accuracy,balanced_accuracy,sensitivity_label_1,specificity_label_0,precision_label_1,f1_label_1,tn,fp,fn,tp,inner_best_accuracy,best_C,best_gamma,best_kernel,runtime_seconds
GLI,1,3778,420,0.9452380952380952,0.946078431372549,0.9166666666666666,0.9754901960784313,0.9753694581280788,0.9451073985680191,199,5,18,198,0.9579154561913181,1000,0.01,rbf,36.30223955399924
GLI,2,3778,420,0.9666666666666667,0.9667612024957459,0.9627906976744186,0.9707317073170731,0.971830985915493,0.9672897196261683,199,6,8,207,0.9542096473130955,1000,0.01,rbf,29.447064206000505
GLI,3,3778,420,0.9452380952380952,0.9453771979580261,0.9395348837209302,0.9512195121951219,0.9528301886792453,0.9461358313817331,195,10,13,202,0.957383548762859,1000,0.01,rbf,30.256240177999643
GLI,4,3778,420,0.9571428571428572,0.9572319909245603,0.9534883720930233,0.9609756097560975,0.9624413145539906,0.9579439252336449,197,8,10,205,0.9555295917364883,1000,0.01,rbf,31.980862229000195
GLI,5,3778,420,0.9642857142857143,0.9640952921157118,0.9720930232558139,0.9560975609756097,0.9587155963302753,0.9653579676674365,196,9,6,209,0.9579133510167992,1000,0.01,rbf,31.13039129199933
GLI,6,3778,420,0.9523809523809523,0.953034600113443,0.9255813953488372,0.9804878048780488,0.9802955665024631,0.9521531100478469,201,4,16,199,0.9563267511543374,10,scale,rbf,31.395721282000522
GLI,7,3778,420,0.9428571428571428,0.9433919455473625,0.9209302325581395,0.9658536585365853,0.9658536585365853,0.9428571428571428,198,7,17,198,0.9579112458422803,1000,0.01,rbf,30.776131459999306
GLI,8,3778,420,0.9547619047619048,0.9547929665343164,0.9534883720930233,0.9560975609756097,0.9579439252336449,0.9557109557109557,196,9,10,205,0.9560614991649474,100,scale,rbf,30.41786333300115
GLI,9,3779,419,0.9403341288782816,0.9402302781577747,0.9441860465116279,0.9362745098039216,0.9398148148148148,0.9419953596287703,191,13,12,203,0.9581884271539444,1000,0.01,rbf,30.21013848400071
GLI,10,3779,419,0.9618138424821002,0.9617875056999544,0.9627906976744186,0.9607843137254902,0.9627906976744186,0.9627906976744186,196,8,8,207,0.9560720250375422,1000,0.01,rbf,30.701368673000616
