station,n_waveforms,accuracy,balanced_accuracy,earthquake_precision,earthquake_recall,earthquake_f1,icequake_precision,icequake_recall,icequake_f1,macro_precision,macro_recall,macro_f1
BAE,763,0.9318479685452162,0.9343977591036414,0.9720558882235529,0.9276190476190476,0.949317738791423,0.8549618320610687,0.9411764705882353,0.896,0.9135088601423108,0.9343977591036414,0.9226588693957115
BAT,555,0.9117117117117117,0.9110887096774194,0.9630606860158312,0.9125,0.9370988446726572,0.8011363636363636,0.9096774193548387,0.851963746223565,0.8820985248260974,0.9110887096774194,0.894531295448111
FID,3335,0.9631184407796102,0.963634976941145,0.9497686715135493,0.9683288409703504,0.958958958958959,0.9742041712403952,0.9589411129119395,0.9665123876939831,0.9619864213769722,0.963634976941145,0.962735673326471
GLI,4198,0.9530728918532635,0.9532743657475635,0.9434324065196549,0.9614069369809477,0.952334865714977,0.962594696969697,0.9451417945141795,0.9537884119164908,0.953013551744676,0.9532743657475635,0.9530616388157339
KLU,4251,0.9150788049870618,0.9150878870583236,0.9189957366177167,0.9107981220657277,0.9148785663758547,0.9112149532710281,0.9193776520509194,0.9152781037315184,0.9151053449443725,0.9150878870583236,0.9150783350536866
KNK,4465,0.98006718924972,0.979849994966274,0.9813307802776448,0.9761904761904762,0.978753879207448,0.9789562289562289,0.9835095137420719,0.9812275891162202,0.9801435046169369,0.979849994966274,0.9799907341618341
M23K,1477,0.9309410968178741,0.9301093650411755,0.9650205761316872,0.9324055666003976,0.948432760364004,0.8653465346534653,0.9278131634819533,0.8954918032786885,0.9151835553925762,0.9301093650411755,0.9219622818213462
SAW,4515,0.9475083056478405,0.9467974911418449,0.94240317775571,0.9400693412580485,0.9412348127944459,0.9516193522590963,0.9535256410256411,0.9525715429257554,0.9470112650074032,0.9467974911418449,0.9469031778601007
SCM,4463,0.9518261259242662,0.9506193660653764,0.9568922305764411,0.936702649656526,0.9466898090751302,0.9477309562398704,0.9645360824742268,0.9560596770897201,0.9523115934081557,0.9506193660653764,0.9513747430824251
