station,n_waveforms,label_0,label_1,outer_accuracy_mean,outer_accuracy_std,oof_accuracy,outer_balanced_accuracy_mean,outer_sensitivity_mean,outer_specificity_mean,outer_f1_label_1_mean,modal_best_C,modal_best_gamma,modal_selection_folds
BAE,763,525,238,0.9318352699931648,0.030803559834155194,0.9318479685452162,0.9343496928966577,0.9411231884057972,0.9275761973875181,0.8966516967943752,100,0.01,4
BAT,555,400,155,0.9119155844155843,0.03959591259583915,0.9117117117117117,0.9114583333333333,0.9104166666666667,0.9124999999999999,0.8543232992782329,100,0.001,7
FID,3335,1484,1851,0.9631179083274892,0.009054725963124228,0.9631184407796102,0.9636370631293776,0.9589537925021798,0.9683203337565756,0.9664670812824682,100,0.01,4
GLI,4198,2047,2151,0.953071939993181,0.009405814734623756,0.9530728918532635,0.9532781410919444,0.94515503875969,0.9614012434241989,0.9537342108396135,1000,0.01,8
KLU,4251,2130,2121,0.9150814692074013,0.009668560261616735,0.9150788049870618,0.9150876959872443,0.9193772699087608,0.9107981220657277,0.9152838969603545,1000,0.01,9
KNK,4465,2100,2365,0.9800649070535007,0.004784509585308222,0.98006718924972,0.9798468293131455,0.983503182435815,0.9761904761904763,0.9812208883274873,100,0.01,5
M23K,1477,1006,471,0.9309523809523809,0.018232554282938785,0.9309410968178741,0.9300992468927743,0.9277925531914895,0.9324059405940593,0.8953643246154768,1000,0.01,6
SAW,4515,2019,2496,0.9475055432372506,0.009764876246180068,0.9475083056478405,0.9468006707486071,0.9535244979919678,0.9400768435052459,0.9525567384468518,1000,0.01,9
SCM,4463,2038,2425,0.9518243195794586,0.0077212560412493435,0.9518261259242662,0.9506203554324213,0.9645291296806449,0.9367115811841978,0.9560637730629808,100,scale,4
